YEAR,STATEFIP,RPP
2014,37,91.8
2013,37,91.7
2012,37,91.5
2011,37,91.3
2010,37,92.1
2009,37,92
2008,37,91.53805229
2007,37,91.43389725
2006,37,91.34977939
2005,37,91.42580625
2004,37,91.38645702
2003,37,91.29704107
2002,37,91.39513057
2001,37,91.19429209
2000,37,91.07851375
1999,37,90.96932121
1998,37,90.86590738
1997,37,90.76780793
1996,37,90.67481165
1995,37,90.58689426
1994,37,90.50416956
1993,37,90.42685329
1992,37,90.3552365
1991,37,90.28966585
1990,37,90.22835492
1989,37,90.1687102
1988,37,90.11012799
1987,37,90.05207259
1986,37,89.99405853
1985,37,89.93563741
1984,37,89.87638823
1983,37,89.81591022
1982,37,89.75381753
1981,37,89.68973538
1980,37,89.62795371
1979,37,89.57257832
1978,37,89.52277055
1977,37,89.47790292
1976,37,89.43750385
1975,37,89.40121697
1974,37,89.36877094
1973,37,89.33995723
1972,37,89.31461371
1971,37,89.29261251
2019,36,116.4
2018,36,116
2017,36,116.4
2016,36,115.8
2015,36,115.7
2014,36,115.2
2013,36,115.3
2012,36,115.2
2011,36,115.2
2010,36,115.3
2009,36,115.1
2008,36,114.8387733
2007,36,114.7193335
2006,36,114.5508075
2005,36,114.5227625
2004,36,114.4014581
2003,36,114.2007733
2002,36,114.2492816
2001,36,114.1154387
2000,36,114.0544919
1999,36,113.9898982
1998,36,113.9222543
1997,36,113.8519058
1996,36,113.7790122
1995,36,113.7035962
1994,36,113.625579
1993,36,113.5448072
1992,36,113.4610719
1991,36,113.3741237
1990,36,113.2844938
1989,36,113.1933187
1988,36,113.101101
1987,36,113.0082618
1986,36,112.9151614
1985,36,112.8221158
1984,36,112.7294078
1983,36,112.6372961
1982,36,112.5460211
1981,36,112.4558102
1980,36,112.3729512
1979,36,112.3026768
1978,36,112.2434668
1977,36,112.1941963
1976,36,112.1540322
1975,36,112.122357
1974,36,112.0987125
1973,36,112.0827581
1972,36,112.0742399
1971,36,112.0729683
2019,35,91.1
2018,35,92.4
2017,35,92.4
2016,35,93.8
2015,35,94.7
2014,35,95.3
2013,35,95
2012,35,95.3
2011,35,94.6
2010,35,94.4
2009,35,94.4
2008,35,94.82502245
2007,35,94.69237429
2006,35,94.56289269
2005,35,94.27658793
2004,35,94.24339979
2003,35,94.29232429
2002,35,94.39062384
2001,35,94.41149306
2000,35,94.37912563
1999,35,94.3403722
1998,35,94.29660658
1997,35,94.24884986
1996,35,94.19786264
1995,35,94.14421313
1994,35,94.08832745
1993,35,94.03052682
1992,35,93.97105493
1991,35,93.91009826
1990,35,93.84799493
1989,35,93.78518072
1988,35,93.72191297
1987,35,93.65841869
1986,35,93.59490251
1985,35,93.53155257
1984,35,93.46854476
1983,35,93.40604599
1982,35,93.34421649
1981,35,93.28321158
1980,35,93.22479923
1979,35,93.17031878
1978,35,93.11925648
1977,35,93.07122697
1976,35,93.02593974
1975,35,92.98317429
1974,35,92.94276186
1973,35,92.90457188
1972,35,92.86850198
1971,35,92.83447064
2019,34,115.2
2018,34,113.6
2017,34,114.1
2016,34,113.4
2015,34,113.8
2014,34,113.4
2013,34,114.4
2012,34,114.6
2011,34,114.1
2010,34,113.3
2009,34,112.9
2008,34,112.9970921
2007,34,112.6960685
2006,34,112.5803873
2005,34,112.359981
2004,34,112.2793597
2003,34,112.0482074
2002,34,112.0689617
2001,34,112.0287402
2000,34,111.9825365
1999,34,111.9313122
1998,34,111.8759945
1997,34,111.8171596
1996,34,111.7551242
1995,34,111.6900135
1994,34,111.6218115
1993,34,111.5503976
1992,34,111.4755741
1991,34,111.3970862
1990,34,111.2975097
1989,34,111.1662631
1988,34,111.0132331
1987,34,110.8465345
1986,34,110.672974
1985,34,110.4983919
1984,34,110.3279149
1983,34,110.1661428
1982,34,110.017286
1981,34,109.8852677
1980,34,109.7759318
1979,34,109.6907639
1978,34,109.627342
1977,34,109.5839136
1976,34,109.5592205
1975,34,109.5523698
1974,34,109.5627381
1973,34,109.5899012
1972,34,109.633582
1971,34,109.6936119
2019,33,106
2018,33,106.5
2017,33,106.8
2016,33,105.7
2015,33,105.7
2014,33,105.4
2013,33,105.6
2012,33,105.3
2011,33,106.5
2010,33,106.4
2009,33,107.2
2008,33,106.2074344
2007,33,106.0441736
2006,33,106.0512455
2005,33,105.9663816
2004,33,105.7235339
2003,33,105.5021614
2002,33,105.4558103
2001,33,105.1618247
2000,33,105.1155629
1999,33,105.1074688
1998,33,105.1220156
1997,33,105.1461485
1996,33,105.1686377
1995,33,105.1796017
1994,33,105.1701548
1993,33,105.1321462
1992,33,105.0579684
1991,33,104.9404147
1990,33,104.7976208
1989,33,104.6541305
1988,33,104.510704
1987,33,104.3681824
1986,33,104.2274665
1985,33,104.089501
1984,33,103.9552635
1983,33,103.8257555
1982,33,103.7019962
1981,33,103.5850181
1980,33,103.4825466
1979,33,103.3998948
1978,33,103.3344834
1977,33,103.2843791
1976,33,103.2481261
1975,33,103.2246214
1974,33,103.213022
1973,33,103.2126774
1972,33,103.223079
1971,33,103.2438231
2019,32,97.5
2018,32,96.5
2017,32,96
2016,32,97.3
2015,32,97.5
2014,32,98.7
2013,32,98.7
2012,32,99.8
2011,32,99.9
2010,32,100.7
2009,32,100.8
2008,32,99.75443877
2007,32,99.29310135
2006,32,98.88935669
2005,32,98.46846011
2004,32,98.4448166
2003,32,98.5827741
2002,32,98.46183287
2001,32,98.23168509
2000,32,98.19521364
1999,32,98.14972295
1998,32,98.09737462
1997,32,98.03970209
1996,32,97.97777497
1995,32,97.91232026
1994,32,97.84381193
1993,32,97.77253715
1992,32,97.69864504
1991,32,97.62218283
1990,32,97.54423239
1989,32,97.46600566
1988,32,97.38757955
1987,32,97.30901316
1986,32,97.23035245
1985,32,97.15163365
1984,32,97.07288582
1983,32,96.99413273
1982,32,96.91539424
1981,32,96.8366873
1980,32,96.75975376
1979,32,96.68609409
1978,32,96.6153095
1977,32,96.54710457
1976,32,96.48126021
1975,32,96.41761373
1974,32,96.35604405
1973,32,96.29646087
1972,32,96.23879658
1971,32,96.18300034
2019,31,89.5
2018,31,89.8
2017,31,90.1
2016,31,90.2
2015,31,90.5
2014,31,90.7
2013,31,90.6
2012,31,90.3
2011,31,90.3
2010,31,89.6
2009,31,89.7
2008,31,90.08885705
2007,31,90.00322782
2006,31,89.83939587
2005,31,89.84604597
2004,31,89.84045141
2003,31,89.90539473
2002,31,90.01702176
2001,31,89.94074606
2000,31,89.82516929
1999,31,89.70637234
1998,31,89.58789753
1997,31,89.47295731
1996,31,89.36452055
1995,31,89.26537619
1994,31,89.17818033
1993,31,89.10549091
1992,31,89.04979343
1991,31,89.01351985
1990,31,88.98739483
1989,31,88.96007643
1988,31,88.93166982
1987,31,88.90214648
1986,31,88.87137915
1985,31,88.83916765
1984,31,88.80525794
1983,31,88.76935624
1982,31,88.73113934
1981,31,88.6902624
1980,31,88.64455804
1979,31,88.5935592
1978,31,88.53931702
1977,31,88.48353286
1976,31,88.42764976
1975,31,88.37291996
1974,31,88.32045482
1973,31,88.27126163
1972,31,88.22627084
1971,31,88.18635615
2019,30,93.3
2018,30,93.9
2017,30,93.4
2016,30,95.1
2015,30,94.7
2014,30,94.6
2013,30,93.5
2012,30,93.8
2011,30,93.9
2010,30,94.5
2009,30,95.3
2008,30,94.48140421
2007,30,94.49585284
2006,30,94.49601769
2005,30,94.32647187
2004,30,94.26523743
2003,30,94.28864267
2002,30,94.31449014
2001,30,94.24874538
2000,30,94.17544809
1999,30,94.09958102
1998,30,94.02293296
1997,30,93.94705591
1996,30,93.87332699
1995,30,93.80299415
1994,30,93.73720997
1993,30,93.67705659
1992,30,93.62356413
1991,30,93.57772426
1990,30,93.53879322
1989,30,93.50420477
1988,30,93.47249813
1987,30,93.4424249
1986,30,93.41289353
1985,30,93.38292833
1984,30,93.35163914
1983,30,93.31819899
1982,30,93.28182759
1981,30,93.24177908
1980,30,93.1974971
1979,30,93.14990501
1978,30,93.10030952
1977,30,93.04979961
1976,30,92.99930345
1975,30,92.94963046
1974,30,92.90150232
1973,30,92.85557597
1972,30,92.81246049
1971,30,92.77272963
2019,29,88.8
2018,29,89.5
2017,29,89.5
2016,29,89.6
2015,29,89.8
2014,29,89.9
2013,29,89.3
2012,29,89.1
2011,29,88.3
2010,29,87.9
2009,29,87.8
2008,29,88.54559521
2007,29,88.46189774
2006,29,88.45865419
2005,29,88.53329188
2004,29,88.48203017
2003,29,88.46287212
2002,29,88.50743718
2001,29,88.15438242
2000,29,88.09490623
1999,29,88.03478068
1998,29,87.97465523
1997,29,87.91504747
1996,29,87.85637759
1995,29,87.79899388
1994,29,87.74319147
1993,29,87.68922629
1992,29,87.63732531
1991,29,87.58769407
1990,29,87.53861768
1989,29,87.48839083
1988,29,87.43730282
1987,29,87.38556065
1986,29,87.33331051
1985,29,87.28065368
1984,29,87.22765831
1983,29,87.17436802
1982,29,87.12080839
1981,29,87.0669916
1980,29,87.0145613
1979,29,86.96495467
1978,29,86.91781021
1977,29,86.87285688
1976,29,86.82989048
1975,29,86.78875617
1974,29,86.74933553
1973,29,86.71153709
1972,29,86.67528925
1971,29,86.64053508
2019,28,86
2018,28,85.2
2017,28,86
2016,28,86.2
2015,28,86.2
2014,28,87.2
2013,28,86.5
2012,28,86.8
2011,28,86.7
2010,28,85.8
2009,28,86.4
2008,28,86.17468021
2007,28,86.1513271
2006,28,85.89864679
2005,28,85.9087551
2004,28,85.87388217
2003,28,85.85729371
2002,28,85.84144437
2001,28,85.98635322
2000,28,85.91118542
1999,28,85.80238137
1998,28,85.67326818
1997,28,85.53497095
1996,28,85.39698856
1995,28,85.26761888
1994,28,85.15427279
1993,28,85.06370613
1992,28,85.00219095
1991,28,84.97564202
1990,28,84.96443313
1989,28,84.94544559
1988,28,84.92067619
1987,28,84.89158131
1986,28,84.85921824
1985,28,84.82434949
1984,28,84.78751991
1983,28,84.74911357
1982,28,84.70939583
1981,28,84.66854436
1980,28,84.62496597
1979,28,84.57789325
1978,28,84.52863453
1977,28,84.47826699
1976,28,84.4276971
1975,28,84.37770529
1974,28,84.32897883
1973,28,84.28213629
1972,28,84.23774541
1971,28,84.19633646
2019,27,97.5
2018,27,97.9
2017,27,97.8
2016,27,97.2
2015,27,97.5
2014,27,97.5
