5p,15p,25p,35p,45p,50p,55p,65p,75p,85p,95p
7412.99328,14525.936832,23253.853919999998,39103.539551999995,46432.695408,50743.704,52994.07695999999,66187.44,79424.928,117601.84339199998,183162.70896
8599.954703999998,18633.970608,30865.409519999997,40594.9632,47888.819088,51626.203199999996,57583.0728,69818.924208,82213.625472,103031.7816,153554.8608
6923.206224,16079.135423999998,26474.976,39866.901359999996,46331.208,49216.980383999995,55835.724383999994,66628.68959999998,92662.416,117601.84339199998,179513.574768
8886.766943999999,17244.034367999997,30746.272127999997,40153.713599999995,46600.370255999995,51705.62812799999,60407.070239999994,71773.659936,86939.408688,113268.77231999999,184221.70799999998
9164.754192,16767.4848,29669.623104,39346.22683199999,44786.8344,49861.2048,51983.615375999994,65349.06576,81631.17599999999,110422.71239999999,179513.574768
9116.216735999998,23253.853919999998,30887.471999999998,40153.713599999995,44266.159872,48634.530911999995,52067.4528,67069.9392,88249.92,115122.02064,183162.70896
6923.206224,17649.984,26474.976,39712.464,44566.209599999995,48537.456,53347.07663999999,67003.75176,84552.24835199998,113268.77231999999,209646.509952
7412.99328,17649.984,29669.623104,40153.713599999995,47037.20735999999,49861.2048,55928.3868,71994.284736,82844.61239999998,108966.58871999999,164105.13873599996
9116.216735999998,17649.984,28231.149408,39712.464,44266.159872,48144.743855999994,51004.041264,66187.44,81326.71377599999,113935.05921599998,179513.574768
8895.591935999999,18633.970608,28637.09904,39712.464,42307.011648,46715.095151999994,52949.952,66187.44,92229.99139199998,113935.05921599998,153907.86047999997
8886.766943999999,22062.48,30887.471999999998,39888.96384,48537.456,50831.95391999999,55928.3868,66628.68959999998,82844.61239999998,103031.7816,161497.3536
5736.2447999999995,14525.936832,26033.7264,39050.5896,45889.958399999996,49393.480224,54053.075999999994,67987.73836799999,81326.71377599999,110422.71239999999,183573.071088
7412.99328,17950.033728,28637.09904,40021.33871999999,48537.456,51705.62812799999,61571.969183999994,73922.54548799999,92229.99139199998,126342.997968,183162.70896
6177.4944,17244.034367999997,27092.725439999995,39866.901359999996,44124.96,48546.28099199999,51983.615375999994,65349.06576,80439.80208,103031.7816,147580.34121599997
